app,machine,scaling,num_proc,io_volume,io_intensity
haccio,cori regular,strong-scaling,64,4449778.387,2.762972027
haccio,cori regular,strong-scaling,128,3489556.865,2.126345838
haccio,cori regular,strong-scaling,256,3004679.576,1.557442059
haccio,cori regular,strong-scaling,512,2761035.476,1.005840611
haccio,cori regular,strong-scaling,1024,2347852.503,0.816477052
haccio,cori regular,weak-scaling,64,2975142.594,1.563468464
haccio,cori regular,weak-scaling,128,2994768.965,2.007762828
haccio,cori regular,weak-scaling,256,3004679.576,2.065559053
haccio,cori regular,weak-scaling,512,3009659.521,0.892747837
haccio,cori regular,weak-scaling,1024,2678883.878,0.737631851
haccio,lassen regular,strong-scaling,64,4449778.386,0.179467396
haccio,lassen regular,strong-scaling,128,3489556.864,0.645183509
haccio,lassen regular,strong-scaling,256,3004679.576,0.824095254
haccio,lassen regular,strong-scaling,512,2761035.476,0.826959687
haccio,lassen regular,strong-scaling,1024,2638910.311,1.409258324
haccio,lassen regular,weak-scaling,64,2975142.594,0.546622634
haccio,lassen regular,weak-scaling,128,2994768.965,7.764920526
haccio,lassen regular,weak-scaling,256,3004679.576,0.88671274
haccio,lassen regular,weak-scaling,512,3009659.521,0.830798725
haccio,lassen regular,weak-scaling,1024,3012155.688,1.141769016
haccio,summit regular,strong-scaling,64,4449778.386,1.873149288
haccio,summit regular,strong-scaling,128,3489556.865,2.473853085
haccio,summit regular,strong-scaling,256,3004679.576,1.040103307
haccio,summit regular,strong-scaling,512,2761035.476,1.179701164
haccio,summit regular,strong-scaling,1024,2638910.311,1.272104302
haccio,summit regular,weak-scaling,64,2975142.594,1.510968231
haccio,summit regular,weak-scaling,128,2994768.965,1.58662295
haccio,summit regular,weak-scaling,256,3004679.576,1.687438023
haccio,summit regular,weak-scaling,512,3009659.521,1.364806272
haccio,summit regular,weak-scaling,1024,3012155.688,1.25051802
